	BLASTX_swissprot
TRINITY_DN8315_c3_g1	"BCAT1_HUMLU^BCAT1_HUMLU^Q:4-1008,H:59-393^65.075%ID^E:1.51e-164^RecName: Full=Branched-chain amino acid aminotransferase 1, mitochondrial {ECO:0000303|PubMed:23347725};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Humulus"
TRINITY_DN6787_c5_g1	.
TRINITY_DN6150_c4_g1	"LIN1_LOTJA^LIN1_LOTJA^Q:1362-4472,H:454-1485^67.213%ID^E:0^RecName: Full=Putative E3 ubiquitin-protein ligase LIN-1 {ECO:0000250|UniProtKB:D1FP53};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Loteae; Lotus`LIN1_LOTJA^LIN1_LOTJA^Q:240-1172,H:20-329^75.884%ID^E:3.08e-154^RecName: Full=Putative E3 ubiquitin-protein ligase LIN-1 {ECO:0000250|UniProtKB:D1FP53};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Loteae; Lotus"
TRINITY_DN5962_c5_g1	.
TRINITY_DN8654_c4_g1	"BSPA_POPDE^BSPA_POPDE^Q:1137-286,H:29-301^36.014%ID^E:2.78e-49^RecName: Full=Bark storage protein A;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Saliceae; Populus"
TRINITY_DN8871_c5_g1	"BURP3_ORYSJ^BURP3_ORYSJ^Q:94-201,H:192-227^58.333%ID^E:1.25e-07^RecName: Full=BURP domain-containing protein 3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa"
TRINITY_DN7803_c4_g1	"FK122_ARATH^FK122_ARATH^Q:1188-469,H:93-300^27.273%ID^E:1.13e-09^RecName: Full=F-box/kelch-repeat protein At5g49000;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9163_c3_g1	"C7A52_PANGI^C7A52_PANGI^Q:698-279,H:340-479^78.571%ID^E:9.38e-78^RecName: Full=Beta-amyrin 28-monooxygenase {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Araliaceae; Panax"
TRINITY_DN9550_c3_g1	.
TRINITY_DN6267_c1_g2	.
TRINITY_DN6059_c1_g2	"UBIQP_HORVU^UBIQP_HORVU^Q:2-286,H:65-159^100%ID^E:3.16e-63^RecName: Full=Polyubiquitin;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Hordeum`UBIQP_HORVU^UBIQP_HORVU^Q:38-286,H:1-83^100%ID^E:4.94e-54^RecName: Full=Polyubiquitin;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Hordeum`UBIQP_HORVU^UBIQP_HORVU^Q:2-91,H:141-170^100%ID^E:4.07e-13^RecName: Full=Polyubiquitin;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Hordeum"
TRINITY_DN9214_c1_g1	.
TRINITY_DN9110_c4_g1	.
TRINITY_DN8940_c3_g1	"BAMS_BETPL^BAMS_BETPL^Q:2644-386,H:1-752^79.31%ID^E:0^RecName: Full=Beta-amyrin synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Betulaceae; Betula"
TRINITY_DN6642_c2_g1	.
TRINITY_DN9141_c0_g1	"JI23_HORVU^JI23_HORVU^Q:932-294,H:1-208^37.674%ID^E:8.19e-34^RecName: Full=23 kDa jasmonate-induced protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Hordeum"
TRINITY_DN6426_c0_g1	"KIRO_ACTDE^KIRO_ACTDE^Q:457-164,H:53-150^66.327%ID^E:5.4e-31^RecName: Full=Kirola {ECO:0000303|PubMed:21309790};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Actinidiaceae; Actinidia"
TRINITY_DN8827_c0_g1	"NLTP_HELAN^NLTP_HELAN^Q:286-2,H:13-106^63.158%ID^E:1.31e-35^RecName: Full=Non-specific lipid-transfer protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Asterales; Asteraceae; Asteroideae; Heliantheae alliance; Heliantheae; Helianthus"
TRINITY_DN6555_c1_g2	.
TRINITY_DN8194_c4_g1	"14KD_DAUCA^14KD_DAUCA^Q:270-16,H:52-136^67.059%ID^E:8.26e-32^RecName: Full=14 kDa proline-rich protein DC2.15;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Apiaceae; Apioideae; Scandiceae; Daucinae; Daucus; Daucus sect. Daucus"
TRINITY_DN129_c0_g1	.
TRINITY_DN7022_c2_g1	.
TRINITY_DN6092_c0_g2	.
TRINITY_DN5937_c1_g7	.
TRINITY_DN7607_c1_g1	"C7A52_PANGI^C7A52_PANGI^Q:650-3,H:87-300^68.056%ID^E:2.55e-104^RecName: Full=Beta-amyrin 28-monooxygenase {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Araliaceae; Panax"
TRINITY_DN6357_c0_g4	"HSP7C_PETHY^HSP7C_PETHY^Q:1-1431,H:41-517^96.436%ID^E:0^RecName: Full=Heat shock cognate 70 kDa protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Petunioideae; Petunia"
TRINITY_DN8732_c1_g2	.
TRINITY_DN8387_c4_g1	"C76B6_CATRO^C76B6_CATRO^Q:1618-263,H:46-493^56.637%ID^E:0^RecName: Full=Geraniol 8-hydroxylase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Catharanthinae; Catharanthus"
TRINITY_DN9401_c3_g1	"RNS3_ARATH^RNS3_ARATH^Q:11-676,H:1-219^27.434%ID^E:4.04e-21^RecName: Full=Ribonuclease 3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8030_c5_g1	"GH34_ARATH^GH34_ARATH^Q:215-96,H:68-107^77.5%ID^E:5.18e-15^RecName: Full=Indole-3-acetic acid-amido synthetase GH3.4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6553_c1_g1	.
TRINITY_DN7024_c1_g1	"R13L1_ARATH^R13L1_ARATH^Q:3729-1360,H:36-823^33.293%ID^E:2.7e-123^RecName: Full=Putative disease resistance RPP13-like protein 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6830_c6_g1	"MBF1C_ARATH^MBF1C_ARATH^Q:479-45,H:1-148^74.324%ID^E:2.17e-72^RecName: Full=Multiprotein-bridging factor 1c;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN4358_c0_g1	"RP8L3_ARATH^RP8L3_ARATH^Q:3622-848,H:2-887^28.103%ID^E:1.11e-72^RecName: Full=Disease resistance RPP8-like protein 3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6054_c4_g1	.
TRINITY_DN7340_c3_g2	"VINSY_RAUSE^VINSY_RAUSE^Q:34-822,H:8-253^37.175%ID^E:1.25e-43^RecName: Full=Vinorine synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Rauvolfiinae; Rauvolfia"
TRINITY_DN7408_c3_g2	.
TRINITY_DN1674_c0_g1	"KCR1_ARATH^KCR1_ARATH^Q:1116-187,H:5-310^50.645%ID^E:8.62e-89^RecName: Full=Very-long-chain 3-oxoacyl-CoA reductase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6488_c3_g3	"RAA1G_ARATH^RAA1G_ARATH^Q:327-440,H:21-58^76.316%ID^E:1.29e-10^RecName: Full=Ras-related protein RABA1g;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RAA1G_ARATH^RAA1G_ARATH^Q:427-471,H:62-76^80%ID^E:1.29e-10^RecName: Full=Ras-related protein RABA1g;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7344_c1_g2	.
TRINITY_DN7321_c3_g3	.
TRINITY_DN8479_c1_g2	"FTRC_SOYBN^FTRC_SOYBN^Q:466-326,H:70-110^74.468%ID^E:3.3e-18^RecName: Full=Ferredoxin-thioredoxin reductase catalytic chain, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja"
TRINITY_DN7257_c2_g1	"SCGT_TOBAC^SCGT_TOBAC^Q:1573-236,H:50-474^43.75%ID^E:6.62e-125^RecName: Full=Scopoletin glucosyltransferase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana"
TRINITY_DN6808_c0_g1	.
TRINITY_DN9468_c9_g1	.
TRINITY_DN9118_c4_g1	.
TRINITY_DN5949_c0_g3	"WAK2_ARATH^WAK2_ARATH^Q:1374-1,H:29-473^44.421%ID^E:2.29e-121^RecName: Full=Wall-associated receptor kinase 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9219_c5_g1	.
TRINITY_DN8925_c4_g1	"HSP11_MEDSA^HSP11_MEDSA^Q:2-256,H:59-143^85.882%ID^E:9.94e-35^RecName: Full=18.1 kDa class I heat shock protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Trifolieae; Medicago"
TRINITY_DN6904_c1_g1	"HSP21_SOLPE^HSP21_SOLPE^Q:632-252,H:29-155^88.976%ID^E:8.07e-59^RecName: Full=17.3 kDa class II heat shock protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon"
TRINITY_DN6099_c3_g1	.
TRINITY_DN9355_c7_g1	"HS23C_OXYRB^HS23C_OXYRB^Q:775-245,H:20-204^62.366%ID^E:2.59e-64^RecName: Full=Small heat shock protein, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; Caryophyllales; Chenopodiaceae; Chenopodioideae; Atripliceae; Oxybasis"
TRINITY_DN8822_c3_g2	.
TRINITY_DN8195_c0_g1	.
TRINITY_DN6667_c0_g3	"FERON_ARATH^FERON_ARATH^Q:1268-303,H:495-820^40.828%ID^E:9.31e-67^RecName: Full=Receptor-like protein kinase FERONIA;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FERON_ARATH^FERON_ARATH^Q:1625-1311,H:722-828^43.925%ID^E:7.1e-20^RecName: Full=Receptor-like protein kinase FERONIA;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7219_c2_g1	.
TRINITY_DN7913_c4_g3	"LIMYB_ARATH^LIMYB_ARATH^Q:335-1153,H:176-425^25.641%ID^E:3.59e-13^RecName: Full=L10-interacting MYB domain-containing protein {ECO:0000303|PubMed:25707794};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`LIMYB_ARATH^LIMYB_ARATH^Q:335-712,H:13-134^23.016%ID^E:1.39e-07^RecName: Full=L10-interacting MYB domain-containing protein {ECO:0000303|PubMed:25707794};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8356_c6_g2	"C87A3_ORYSJ^C87A3_ORYSJ^Q:1565-195,H:57-514^43.913%ID^E:7e-146^RecName: Full=Cytochrome P450 87A3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa"
TRINITY_DN1027_c0_g1	.
TRINITY_DN6221_c1_g1	"FLS2_ARATH^FLS2_ARATH^Q:223-576,H:76-191^34.746%ID^E:1.94e-24^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:606-848,H:202-280^33.333%ID^E:1.94e-24^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:96-200,H:33-68^54.054%ID^E:1.94e-24^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:226-582,H:389-504^33.613%ID^E:2.87e-18^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:579-848,H:504-591^41.111%ID^E:2.87e-18^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:220-570,H:219-333^35.043%ID^E:3.58e-16^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:582-848,H:338-424^34.831%ID^E:3.58e-16^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:223-576,H:459-574^33.051%ID^E:7.9e-14^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:582-854,H:601-691^30.108%ID^E:7.9e-14^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:226-567,H:580-693^37.931%ID^E:4.2e-12^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:591-785,H:703-765^35.385%ID^E:4.2e-12^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:247-576,H:539-648^33.929%ID^E:3.38e-10^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:591-857,H:654-741^29.213%ID^E:3.38e-10^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:211-576,H:312-431^32.787%ID^E:3.33e-09^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:226-588,H:630-749^33.884%ID^E:5.46e-08^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`FLS2_ARATH^FLS2_ARATH^Q:226-576,H:341-478^29.71%ID^E:9.86e-06^RecName: Full=LRR receptor-like serine/threonine-protein kinase FLS2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9226_c9_g1	"MT2_ACTDE^MT2_ACTDE^Q:228-67,H:25-78^81.481%ID^E:2.5e-27^RecName: Full=Metallothionein-like protein type 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Actinidiaceae; Actinidia"
TRINITY_DN7590_c3_g1	"SCGT_TOBAC^SCGT_TOBAC^Q:1616-192,H:3-470^42.593%ID^E:8.68e-125^RecName: Full=Scopoletin glucosyltransferase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana"
