#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN28713_c3_g3	MIK2_ARATH^MIK2_ARATH^Q:1241-48,H:274-670^48.492%ID^E:1.23e-111^RecName: Full=MDIS1-interacting receptor like kinase 2 {ECO:0000303|PubMed:26863186};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`MIK2_ARATH^MIK2_ARATH^Q:1241-141,H:178-544^37.875%ID^E:1.4e-63^RecName: Full=MDIS1-interacting receptor like kinase 2 {ECO:0000303|PubMed:26863186};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`MIK2_ARATH^MIK2_ARATH^Q:1145-66,H:114-472^35.278%ID^E:7.23e-53^RecName: Full=MDIS1-interacting receptor like kinase 2 {ECO:0000303|PubMed:26863186};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`MIK2_ARATH^MIK2_ARATH^Q:1175-72,H:128-494^34.783%ID^E:9.84e-53^RecName: Full=MDIS1-interacting receptor like kinase 2 {ECO:0000303|PubMed:26863186};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`MIK2_ARATH^MIK2_ARATH^Q:1241-699,H:514-694^32.597%ID^E:2.71e-14^RecName: Full=MDIS1-interacting receptor like kinase 2 {ECO:0000303|PubMed:26863186};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28712_c6_g2	.
TRINITY_DN28712_c6_g4	.
TRINITY_DN28712_c6_g6	.
TRINITY_DN28734_c2_g2	DRL4_ARATH^DRL4_ARATH^Q:227-682,H:166-318^40.645%ID^E:6.99e-22^RecName: Full=Putative disease resistance protein At1g50180;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28737_c1_g3	.
TRINITY_DN28737_c1_g4	RLP34_ARATH^RLP34_ARATH^Q:17-631,H:631-822^47.317%ID^E:4.32e-41^RecName: Full=Receptor-like protein 34 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP34_ARATH^RLP34_ARATH^Q:14-295,H:194-285^31.915%ID^E:9.83e-06^RecName: Full=Receptor-like protein 34 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28780_c3_g1	.
TRINITY_DN28760_c1_g1	.
TRINITY_DN28760_c3_g1	.
TRINITY_DN28760_c3_g2	.
TRINITY_DN28760_c3_g3	.
TRINITY_DN28760_c3_g4	.
TRINITY_DN28760_c3_g6	.
TRINITY_DN28718_c4_g4	GGP5_ARATH^GGP5_ARATH^Q:122-3,H:150-189^57.5%ID^E:3.51e-09^RecName: Full=Gamma-glutamyl peptidase 5 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`GGP5_ARATH^GGP5_ARATH^Q:242-132,H:154-190^54.054%ID^E:2.21e-07^RecName: Full=Gamma-glutamyl peptidase 5 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28718_c5_g2	.
TRINITY_DN28715_c5_g1	.
TRINITY_DN28715_c5_g1	.
TRINITY_DN28715_c5_g1	.
TRINITY_DN28715_c5_g4	.
TRINITY_DN28735_c1_g1	PER51_ARATH^PER51_ARATH^Q:1025-456,H:140-329^68.421%ID^E:1.63e-91^RecName: Full=Peroxidase 51;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28735_c2_g1	.
TRINITY_DN28735_c2_g3	AB2A_ARATH^AB2A_ARATH^Q:473-66,H:413-548^74.265%ID^E:6.79e-73^RecName: Full=ABC transporter A family member 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28735_c2_g4	AB2A_ARATH^AB2A_ARATH^Q:1245-1,H:1-416^69.952%ID^E:0^RecName: Full=ABC transporter A family member 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28735_c2_g5	AB2A_ARATH^AB2A_ARATH^Q:836-171,H:708-925^69.82%ID^E:1.05e-90^RecName: Full=ABC transporter A family member 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28735_c2_g6	AB11A_ARATH^AB11A_ARATH^Q:4-123,H:658-697^87.5%ID^E:2.95e-16^RecName: Full=ABC transporter A family member 11;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28738_c2_g1	.
TRINITY_DN28738_c2_g2	EIX2_SOLLC^EIX2_SOLLC^Q:127-2976,H:35-971^39.939%ID^E:6e-169^RecName: Full=Receptor-like protein EIX2 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon
TRINITY_DN28723_c4_g12	TI214_BUXMI^TI214_BUXMI^Q:11-1090,H:53-407^89.197%ID^E:6.02e-174^RecName: Full=Protein TIC 214 {ECO:0000250|UniProtKB:P56785};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Buxales; Buxaceae; Buxus
TRINITY_DN28732_c2_g3	.
TRINITY_DN28793_c6_g1	.
TRINITY_DN28793_c6_g4	.
TRINITY_DN28720_c5_g2	EXPA4_ARATH^EXPA4_ARATH^Q:113-18,H:19-50^87.5%ID^E:2.19e-12^RecName: Full=Expansin-A4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28720_c5_g4	EXPA7_ORYSJ^EXPA7_ORYSJ^Q:8-430,H:124-264^87.234%ID^E:5.27e-89^RecName: Full=Expansin-A7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN28720_c5_g5	EXPA4_ARATH^EXPA4_ARATH^Q:3-398,H:126-257^88.636%ID^E:1.17e-83^RecName: Full=Expansin-A4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28720_c5_g6	NAC56_ARATH^NAC56_ARATH^Q:164-583,H:1-193^60.104%ID^E:7.05e-64^RecName: Full=NAC transcription factor 56 {ECO:0000303|PubMed:15029955};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28720_c5_g6	NAC56_ARATH^NAC56_ARATH^Q:164-583,H:1-193^60.104%ID^E:7.05e-64^RecName: Full=NAC transcription factor 56 {ECO:0000303|PubMed:15029955};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28716_c2_g1	MIK2_ARATH^MIK2_ARATH^Q:539-282,H:969-1045^43.023%ID^E:2.34e-09^RecName: Full=MDIS1-interacting receptor like kinase 2 {ECO:0000303|PubMed:26863186};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28716_c2_g1	MIK2_ARATH^MIK2_ARATH^Q:539-282,H:969-1045^43.023%ID^E:2.34e-09^RecName: Full=MDIS1-interacting receptor like kinase 2 {ECO:0000303|PubMed:26863186};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28798_c3_g1	.
TRINITY_DN28722_c3_g3	.
TRINITY_DN28787_c12_g1	RPOA_ATRBE^RPOA_ATRBE^Q:838-74,H:1-255^89.804%ID^E:6.3e-172^RecName: Full=DNA-directed RNA polymerase subunit alpha {ECO:0000255|HAMAP-Rule:MF_00059};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Hyoscyameae; Atropa
TRINITY_DN28787_c12_g3	RK2_CUCSA^RK2_CUCSA^Q:722-3,H:1-240^99.167%ID^E:6.92e-157^RecName: Full=50S ribosomal protein L2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Cucurbitales; Cucurbitaceae; Benincaseae; Cucumis
TRINITY_DN28787_c12_g3	RK2_CUCSA^RK2_CUCSA^Q:722-3,H:1-240^99.167%ID^E:6.92e-157^RecName: Full=50S ribosomal protein L2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Cucurbitales; Cucurbitaceae; Benincaseae; Cucumis
TRINITY_DN28794_c1_g1	CSLG1_ARATH^CSLG1_ARATH^Q:5-262,H:301-387^50.575%ID^E:1.65e-20^RecName: Full=Cellulose synthase-like protein G1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28704_c1_g5	AB4B_ARATH^AB4B_ARATH^Q:5-397,H:327-457^82.443%ID^E:3.94e-65^RecName: Full=ABC transporter B family member 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`AB4B_ARATH^AB4B_ARATH^Q:83-397,H:1011-1115^51.429%ID^E:1.31e-31^RecName: Full=ABC transporter B family member 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28719_c2_g1	.
TRINITY_DN28719_c2_g4	GDPD1_ARATH^GDPD1_ARATH^Q:982-92,H:1-293^69.128%ID^E:1.55e-139^RecName: Full=Glycerophosphodiester phosphodiesterase GDPD1, chloroplastic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28755_c3_g2	.
TRINITY_DN28755_c3_g4	.
TRINITY_DN28761_c3_g1	.
TRINITY_DN28761_c3_g3	.
TRINITY_DN28721_c1_g1	DADIS_PANGI^DADIS_PANGI^Q:573-1,H:1-190^66.667%ID^E:1.13e-74^RecName: Full=Dammarenediol II synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Araliaceae; Panax
TRINITY_DN28721_c2_g1	DADIS_PANGI^DADIS_PANGI^Q:1641-163,H:264-761^70.942%ID^E:0^RecName: Full=Dammarenediol II synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Araliaceae; Panax`DADIS_PANGI^DADIS_PANGI^Q:1732-1613,H:239-278^87.5%ID^E:8.31e-15^RecName: Full=Dammarenediol II synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Araliaceae; Panax
TRINITY_DN28774_c1_g1	WAKLH_ARATH^WAKLH_ARATH^Q:1-1368,H:50-533^37.843%ID^E:9.95e-62^RecName: Full=Wall-associated receptor kinase-like 9;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28774_c1_g2	WAKLK_ARATH^WAKLK_ARATH^Q:2-247,H:422-503^73.171%ID^E:6.06e-37^RecName: Full=Putative wall-associated receptor kinase-like 11;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28730_c5_g1	FLA14_ARATH^FLA14_ARATH^Q:58-387,H:61-170^60%ID^E:1.02e-35^RecName: Full=Fasciclin-like arabinogalactan protein 14;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28730_c5_g2	.
TRINITY_DN28730_c5_g3	.
TRINITY_DN28800_c3_g2	.
TRINITY_DN28800_c3_g8	PSBI_WHEAT^PSBI_WHEAT^Q:33-140,H:1-36^100%ID^E:7.06e-18^RecName: Full=Photosystem II reaction center protein I {ECO:0000255|HAMAP-Rule:MF_01316};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Triticum
TRINITY_DN28710_c5_g3	.
TRINITY_DN28753_c4_g1	.
TRINITY_DN28775_c3_g3	MTEF1_ARATH^MTEF1_ARATH^Q:3-242,H:145-225^49.383%ID^E:7.48e-19^RecName: Full=Transcription termination factor MTEF1, chloroplastic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28775_c3_g12	MTEF1_ARATH^MTEF1_ARATH^Q:392-6,H:22-150^38.76%ID^E:6.65e-25^RecName: Full=Transcription termination factor MTEF1, chloroplastic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28790_c0_g1	.
TRINITY_DN28790_c0_g5	.
TRINITY_DN28790_c1_g2	.
TRINITY_DN24102_c0_g10	STY17_ARATH^STY17_ARATH^Q:441-223,H:500-569^64.384%ID^E:1.08e-22^RecName: Full=Serine/threonine-protein kinase STY17 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24102_c0_g12	GOLS2_ARATH^GOLS2_ARATH^Q:580-41,H:100-279^78.889%ID^E:1.98e-107^RecName: Full=Galactinol synthase 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24183_c6_g2	.
TRINITY_DN24107_c2_g3	.
TRINITY_DN24131_c0_g1	ERG1_PANGI^ERG1_PANGI^Q:87-1412,H:96-537^83.484%ID^E:0^RecName: Full=Squalene monooxygenase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Araliaceae; Panax
TRINITY_DN24166_c4_g3	.
TRINITY_DN24122_c4_g5	HSP72_SOLLC^HSP72_SOLLC^Q:1332-352,H:310-615^58.055%ID^E:5.38e-112^RecName: Full=Heat shock cognate 70 kDa protein 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon
TRINITY_DN24143_c2_g1	HSP7M_PHAVU^HSP7M_PHAVU^Q:3-1175,H:286-675^88.747%ID^E:0^RecName: Full=Heat shock 70 kDa protein, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus
TRINITY_DN24143_c2_g5	HSP7M_PHAVU^HSP7M_PHAVU^Q:1-1542,H:132-645^88.521%ID^E:0^RecName: Full=Heat shock 70 kDa protein, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus
TRINITY_DN24177_c0_g1	.
